rate_year,program,hospid,hospital_name,pct_adjustment,dollar_adjustment,source_file,pct_column,dollar_column
2016,MHAC,12,Sinai Hospital,0.0006306285228361297,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,16,Washington Adventist Hospital,0.000645366994726615,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,6,Harford Memorial Hospital,0.0006462763091876766,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,61,Atlantic General Hospital,0.0006600107463610172,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,39,Calvert Memorial Hospital,0.0006723433237398879,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,63,St. Joseph Medical Center,0.000746850277397737,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,17,Garrett County Memorial Hospital,0.0007524766606257227,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,13,Bon Secours Hospital,0.0007732014527186415,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,34,Harbor Hospital Center,0.0009386587965396487,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,23,Anne Arundel Medical Center,0.000991740028207344,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,56,Good Samaritan Hospital,0.0010231303211671872,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2016,MHAC,30,Chester River Hospital Center,0.001256161095879671,,ry2016__fy_2015_scaling_for_improvement_mhac__fy15_rev_ry2015_scaling.csv,REVENUE NEUTRAL ADJUSTED PERCENT INPATIENT REVENUE,
2018,MHAC,9,JOHNS HOPKINS,0.0,0.0,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,19,PENINSULA REGIONAL,0.0,0.0,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,16,WASHINGTON ADVENTIST,0.0005882352941176464,88292.65245931702,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,27,WESTERN MARYLAND HEALTH SYSTEM,0.0005882352941176464,101093.48740941574,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,44,G.B.M.C.,0.0008823529411764695,191077.78714625098,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,12,SINAI,0.002352941176470588,934289.9901595502,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,57,SHADY GROVE,0.002352941176470588,516045.0649373246,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,43,BALTIMORE WASHINGTON MEDICAL CENTER,0.002647058823529412,601939.7382061407,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
