hosp_num,fiscal_year,fy_end_month,hospital_key,match_score,match_basis,equivalent_inpatient_adms_eipa_regulated_services,equivalent_inpatient_adms_eipa_total,gross_patient_revenue_regulated_services,gross_patient_revenue_total,gross_patient_revenue_unregulated_services,inpatient_readmission_charges,net_operating_profit_loss_regulated_services,net_operating_profit_loss_total,net_operating_profit_loss_unregulated_services,net_patient_revenue_npr_regulated_services,net_patient_revenue_npr_total,net_patient_revenue_npr_unregulated_services,nor_per_eipa_regulated_services,nor_per_eipa_total,npr_per_eipa_regulated_services,npr_per_eipa_total,operating_expenses_per_eipa_regulated_services,operating_expenses_per_eipa_total,other_operating_revenue_regulated_services,other_operating_revenue_total,other_operating_revenue_unregulated_services,potentially_avoidable_utilization_costs,risk_adjusted_ppc_rate,risk_adjusted_readmission_percent,total_direct_graduate_medical_education,total_direct_medical_education,total_excess_profit_loss,total_excess_profit_loss_net_operating_profit_of_regulated_nor,total_excess_profit_loss_net_total_operating_profit_of_total_nor,total_excess_profit_loss_total_excess_profit_of_total_revenue,total_non_operating_profit_loss,total_non_operating_profit_loss_change_in_net_operating_profit_regulated,total_non_operating_profit_loss_change_in_net_operating_profit_total,total_non_operating_profit_loss_change_in_nor_per_eipa_regulated,total_non_operating_profit_loss_change_in_npr_per_eipa_regulated,total_non_operating_profit_loss_change_in_oper_expense_per_eipa_regulated,total_non_operating_profit_loss_change_in_total_excess_profit,total_non_operating_profit_loss_net_operating_profit_of_regulated_nor,total_non_operating_profit_loss_net_total_operating_profit_of_total_nor,total_non_operating_profit_loss_non_operating_expenses,total_non_operating_profit_loss_non_operating_revenue,total_non_operating_profit_loss_total_excess_profit,total_non_operating_profit_loss_total_excess_profit_of_total_revenue,total_operating_expenses_regulated_services,total_operating_expenses_total,total_regulated_inpatient_admissions,total_regulated_outpatient_visits,net_operating_profit_of_regulated_nor,net_total_operating_profit_of_total_nor,total_excess_profit_of_total_revenue
2,2017,June,UNIVERSITY OF MARYLAND MEDICAL CENTER,1.0,cms_name,,,1389993000.0,1405853726.0,15860726.0,93784992.0,30367608.0,11804000.0,-18563608.0,1185195229.0,1200776000.0,15580771.0,,,,,,,1219141811.0,117963000.0,99597189.0,122685843.0,0.55,13.25,,108662521.0,76260000.0,2.49,0.9,5.51,64456000.0,,,,,,,,,0.0,64456000.0,,,1188774203.0,1306935000.0,,,2.49,0.9,5.51
2,2018,June,UNIVERSITY OF MARYLAND MEDICAL CENTER,1.0,cms_name,,,1478505421.0,1495454428.0,16949007.0,112326686.0,28423566.0,19772000.0,-8651566.0,1265042071.0,1281667000.0,16624929.0,,,,,,,1274408715.0,96384000.0,103642285.0,145286001.0,0.46,13.12,,105607955.0,23998000.0,2.23,1.43,1.74,4226000.0,,,,,,,,,0.0,4226000.0,,,1245985149.0,1358279000.0,,,2.23,1.43,1.74
4,2007,June,HOLY CROSS HOSPITAL,1.0,cms_name,36092.0,39034.0,351996600.0,380689221.0,28692621.0,,14026600.0,16102333.0,2075732.0,291978698.0,319303202.0,27324504.0,8170.86,8396.45,8089.81,8180.1,7782.23,7983.93,294903783.0,327748164.0,32844380.0,,,,,,,,,,10864291.0,-45.4,-15.35,2.04,2.06,6.71,2.95,4.76,4.91,0.0,10864291.0,26966624.0,7.96,280877183.0,311645831.0,,,4.76,4.91,7.96
4,2008,June,HOLY CROSS HOSPITAL,1.0,cms_name,35896.0,38234.0,383143400.0,412552587.0,29409187.0,,35003468.0,23552240.0,-11451228.0,326703070.0,344466120.0,17763050.0,9152.71,9233.25,9101.29,9009.41,8177.58,8617.25,328548714.0,353024499.0,24475785.0,,,,,,,,,,-2961225.0,149.55,46.27,12.02,12.5,5.08,-23.64,10.65,6.67,-1885000.0,-4846225.0,20591015.0,5.91,293545246.0,329472259.0,,,10.65,6.67,5.91
4,2009,June,HOLY CROSS HOSPITAL,1.0,cms_name,38000.0,41216.0,394466500.0,428456300.0,33989800.0,,25703268.0,19001184.0,-6702084.0,332740684.0,354270184.0,21529500.0,8819.94,8929.03,8756.24,8595.4,8143.55,8468.02,335161284.0,368021084.0,32859800.0,,,,,,,,,,-18839400.0,-26.57,-19.32,-3.64,-3.79,-0.42,-99.21,7.67,5.16,0.0,-18839400.0,161784.0,0.05,309458016.0,349019900.0,,,7.67,5.16,0.05
4,2010,June,HOLY CROSS HOSPITAL,1.0,cms_name,38770.0,42070.0,411325700.0,446330700.0,35005000.0,,31605101.0,21985583.0,-9619518.0,341997483.0,363220783.0,21223300.0,8857.1,8932.28,8821.08,8633.78,8041.92,8409.68,1396700.0,12558000.0,11161300.0,,,,,,,,,,9766800.0,22.96,15.71,0.42,0.74,-1.25,19526.4,9.2,5.85,0.0,9766800.0,31752383.0,8.24,311789082.0,353793200.0,,,9.2,5.85,8.24
4,2011,June,HOLY CROSS HOSPITAL,1.0,cms_name,39880.0,42836.0,437749300.0,470193500.0,32444200.0,,38660100.0,26334800.0,-12325300.0,361064200.0,381016100.0,19951900.0,9150.42,9251.08,9053.69,8894.74,8181.02,8636.3,3857791.0,15264200.0,11406409.0,,,,,,,,,,17357300.0,22.32,19.78,3.31,2.64,1.73,37.6,10.59,6.65,0.0,17357300.0,43692100.0,10.56,326261891.0,369945500.0,,,10.59,6.65,10.56
4,2012,June,HOLY CROSS HOSPITAL,1.0,cms_name,39200.0,41485.0,453731600.0,480175600.0,26444000.0,,42291998.0,26657900.0,-15634098.0,362831800.0,375084400.0,12252600.0,9373.08,9436.73,9255.9,9041.52,8294.2,8794.14,4593400.0,16395500.0,11802100.0,,,,,,26077900.0,,,,-580000.0,9.39,1.23,2.43,2.23,1.38,-40.31,11.51,6.81,0.0,-580000.0,26077900.0,6.67,325133202.0,364822000.0,27918.0,122355.0,11.51,6.81,6.67
4,2013,June,HOLY CROSS HOSPITAL,1.0,cms_name,39841.0,42295.0,461351200.0,489771255.0,28420055.0,37282649.0,42986566.0,24150046.0,-18836520.0,373367100.0,386790046.0,13422946.0,9525.03,9552.98,9371.45,9145.01,8446.08,8981.99,6119000.0,17255000.0,11136000.0,54972608.0,1.17,12.16,2370070.0,,37428046.0,11.33,5.98,8.97,13278000.0,1.64,-9.41,1.62,1.25,1.83,43.52,11.33,5.98,0.0,13278000.0,37428046.0,8.97,336499534.0,379895000.0,27676.0,121384.0,11.33,5.98,8.97
4,2014,June,HOLY CROSS HOSPITAL,1.0,cms_name,,,468876700.0,497855200.0,28978500.0,34270651.0,41046525.0,23295000.0,-17751525.0,382981000.0,397194000.0,14213000.0,,,,,,,389253300.0,414197990.0,24944690.0,53242560.0,1.27,11.63,2757760.0,2757760.0,46558000.0,10.54,5.62,10.64,23263000.0,,,,,,,,,0.0,23263000.0,,,348206775.0,390903000.0,27507.0,114641.0,10.54,5.62,10.64
4,2015,June,HOLY CROSS HOSPITAL,1.0,cms_name,,,480562300.0,509712090.0,29149790.0,38364441.0,50987078.0,31608866.0,-19378211.0,400831157.0,414713225.0,13882068.0,,,,,,,405444002.0,15340945.0,24610168.0,57503822.0,0.84,11.83,2658000.0,2658000.0,37702162.0,12.58,7.35,8.64,6093296.0,,,,,,,,,0.0,6093296.0,,,354456924.0,398445304.0,,,12.58,7.35,8.64
4,2016,June,HOLY CROSS HOSPITAL,1.0,cms_name,,,505712400.0,539756025.0,34043625.0,40508976.0,58855012.0,34921667.0,-23933345.0,418354058.0,434346008.0,15991950.0,,,,,,,3375639.0,448159813.0,26430116.0,61669789.0,0.59,11.49,,2708039.0,28838267.0,13.96,7.79,6.52,-6083400.0,,,,,,,,,0.0,-6083400.0,,,362874686.0,413238146.0,,,13.96,7.79,6.52
4,2017,June,HOLY CROSS HOSPITAL,1.0,cms_name,,,504632600.0,546745266.0,42112666.0,36395000.0,50852356.0,31231628.0,-19620727.0,423016922.0,439284590.0,16267668.0,,,,,,,9645000.0,461972628.0,13043038.0,55474801.0,0.46,11.38,,2634917.0,45230600.0,11.75,6.76,9.5,13999000.0,,,,,,,,,0.0,13999000.0,,,381809567.0,430741000.0,,,11.75,6.76,9.5
4,2018,June,HOLY CROSS HOSPITAL,1.0,cms_name,,,515354700.0,556205070.0,40850370.0,38427667.0,67190696.0,45253357.0,-21937339.0,443927941.0,461039826.0,17111885.0,,,,,,,2104136.0,477178357.0,14034395.0,55444851.0,0.28,11.63,,2663635.0,53286357.0,15.06,9.48,10.98,8033000.0,,,,,,,,,0.0,8033000.0,,,378841380.0,431925000.0,,,15.06,9.48,10.98
5,2007,June,FREDERICK MEMORIAL HOSPITAL,0.975,hscrc_name,25543.0,34660.0,221930300.0,302627061.0,80696761.0,,8424634.0,5272744.0,-3151890.0,192131819.0,234883119.0,42751300.0,7644.64,7077.12,7521.89,6776.77,7314.82,6924.99,195267213.0,245293175.0,50025962.0,,,,,,,,,,8997421.0,330.81,945.93,7.49,6.12,0.72,2116.72,4.31,2.15,0.0,8997421.0,14270165.0,5.61,186842579.0,240020431.0,,,4.31,2.15,5.61
5,2008,June,FREDERICK MEMORIAL HOSPITAL,0.975,hscrc_name,26773.0,35851.0,244818200.0,327834355.0,83016155.0,,10435545.0,1705357.0,-8730188.0,212190095.0,258428819.0,46238724.0,8051.79,7554.64,7925.58,7208.35,7662.01,7507.07,215569301.0,270843838.0,55274537.0,,,,,,,,,,-9360789.0,23.87,-67.66,5.33,5.37,4.75,-153.65,4.84,0.63,14270292.0,4909503.0,-7655432.0,-2.78,205133756.0,269138481.0,,,4.84,0.63,-2.78
