fiscal_year,hosp_num,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,kaiser_volume,kaiser_revenue,revenue_inpatient,revenue_outpatient,outpatient_revenue_share,inpatient_admissions,inpatient_admissions_medicare,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,39,26781829.0,149191969.0,26399906.0,381923.0,146781160.0,2410809.0,11884763.0,154287.0,60561169.0,809720.0,11572826.0,311937.0,58854421.71,1706747.29,,,,,66312946.0,82879023.0,0.5555193322771952,5255.0,2305.0,0.412594974722914,0.450182019587494,0.9838408929370722,0.02818220516846364,
2017,40,38868423.43,258800886.23,38214519.86,653900.93,254696845.88,4104037.98,17166792.45,150747.46,123634045.08,776913.25,15859916.45,1306875.73,113983095.16,9650949.92,,,,,135561016.06,123239870.17,0.47619570382952625,10624.0,5957.0,0.4854164748402498,0.44922172286583845,0.9841420931366028,0.07806061763776434,
2017,43,72824244.95,416533976.32,71210120.51,1614122.96,408446929.63,8087044.57,35188902.23,817908.46,191747044.83,3857141.86,32271947.4,2916954.13,177127748.07,14619296.05,,,,,232972061.9,183561914.42,0.4406889350101408,16843.0,8700.65,0.4694539998224445,0.4941559146084921,0.980584905074377,0.07624261465391159,
2017,44,98441140.0,462643277.71,93490172.0,4950968.0,442520447.09,20122830.62,11927366.0,412886.0,174323207.23,7498421.75,11571315.0,356051.0,168421198.17,5902009.06,,,,,235552056.26,227091221.45,0.49085598427812505,16256.0,6164.0,0.3939325479225733,0.12757882186803549,0.956504651446349,0.03385670303904493,
2017,45,1977911.0,16708862.83,1927081.0,50830.0,16008179.82,700683.01,651125.0,31922.0,7593100.88,311270.11,626018.0,25107.0,7356153.87,236946.53,,,,,3245746.23,13463116.6,0.8057470300029987,264.0,193.0,0.47432631100966727,0.33788149019164215,0.9580651886888463,0.03120550269839165,
2017,48,53387915.28,303036585.39,51608596.77,1779318.51,295424186.88,7612398.51,20138764.79,683806.0,107224234.44,2785515.92,19301280.79,837484.0,102071996.05,5152238.39,,,,,186159938.47,116876646.92,0.3856849388979977,17075.0,6858.0,0.3629500873723451,0.39022112691323224,0.9748796057076639,0.048051062494487325,
2017,49,73508011.44,341416129.75,70806846.11,2701164.81,329103099.49,12313029.93,35362459.01,1255518.5,156361170.55,4935725.83,33261552.48,2100906.21,146967715.54,9393454.54,,,,,132741449.5,208674680.25,0.6112033441501455,11357.0,5959.06,0.47511302929783295,0.4994214677358124,0.9639354172604084,0.06007536594257095,
2017,51,44175353.0,232581683.0,41209279.0,2966074.0,216622016.0,15959667.0,7652222.0,389588.0,102034392.0,5822871.0,7161744.0,490478.0,96035168.0,5999224.0,,,,,140666616.0,91915067.0,0.3951947798055963,9977.0,5018.0,0.4710250319155002,0.18569172248803478,0.9313803787377357,0.05879609690818759,
2017,55,15042359.46,100491814.53,14262729.01,779629.8,95172572.93,5319236.97,6741365.71,224108.65,39409812.1,1627574.65,6633151.82,108212.6,38771565.28,638246.82,,,,,59297378.81,41194435.72,0.4099282704035775,3766.0,1710.72,0.4140879130060522,0.4726560888363958,0.9470679117012856,0.016195124665412956,
2017,60,6902176.33,48182423.0,6083868.33,818308.0,42193934.0,5988489.0,2637651.0,220694.0,18308220.0,1508928.0,2596283.0,41368.0,18028150.0,280070.0,,,,,19523338.0,28659085.0,0.5948037316429686,2271.0,1280.0,0.433906447310649,0.43354833749335925,0.8757121658244543,0.015297500248522248,
2017,61,21093412.07,107266894.15,15461279.59,5632132.4799999995,77259070.88,30007823.27,8380451.62,3236561.72,40279612.410000004,16631273.46,8023573.25,356878.37,38346699.93,1932912.48,,,,,38066930.3,69199963.85,0.645119488154771,3270.0,1526.0,0.5213577118027077,0.5420283341503173,0.720250842463681,0.04798736542758108,
