fiscal_year,hosp_num,setting,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,months_reported,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,43,inpatient,41592965.87,232972061.9,40640448.64,952516.48,228448150.9,4523909.92,22658002.11,670214.58,125731457.25,3027248.56,21078647.89,1579353.79,117313399.0,8418057.81,,,12,0.550371962980069,0.5575234247709329,0.9805817445958742,0.06695267830437876,
2017,43,outpatient,31231279.080000002,183561914.42,30569671.87,661606.48,179998778.73,3563134.65,12530900.12,147693.88,66015587.58,829893.3,11193299.51,1337600.34,59814349.07,6201238.24,,,12,0.3667557527099895,0.4099128107520638,0.9805889162724282,0.09393596978115393,
2017,44,inpatient,44111978.0,235552056.26,42488871.0,1623107.0,227523880.76,8028175.5,7221663.0,225451.0,98016372.26,3528467.0,7045742.0,175921.0,95341229.86,2675142.4,,,12,0.4307959759327024,0.16996598944697777,0.9659176165665114,0.02729281178560525,
2017,44,outpatient,54329162.0,227091221.45,51001301.0,3327861.0,214996566.33,12094655.12,4705703.0,187435.0,76306834.97,3969954.75,4525573.0,180130.0,73079968.31,3226866.66,,,12,0.35492117977770865,0.09226633257845716,0.9467409834568927,0.042288042234599844,
2017,45,inpatient,437963.0,3245746.23,428567.0,9396.0,3115222.38,130523.85,208314.0,8264.0,2333087.06,112024.09,205833.0,2481.0,2302124.99,30961.94,,,12,0.7489311437214315,0.48607102273390157,0.959786181435386,0.013270803533580953,
2017,45,outpatient,1539948.0,13463116.6,1498514.0,41434.0,12892957.44,570159.16,442811.0,23658.0,5260013.82,199246.02,420185.0,22626.0,5054028.88,205984.59,,,12,0.4079757374891327,0.2955000754080376,0.9576502843331238,0.03916046555178062,
2017,48,inpatient,30206866.36,186159938.47,29407651.36,799215.0,182197852.62,3962085.85,14068658.22,297165.0,79951399.23,1580027.85,13430963.22,637695.0,76043059.19,3908340.04,,,12,0.4388163640805922,0.4784012856985938,0.978716764291161,0.048883947968899104,
2017,48,outpatient,23181048.92,116876646.92,22200945.41,980103.51,113226334.26,3650312.66,6070106.57,386641.0,27272835.21,1205488.07,5870317.57,199789.0,26028936.86,1243898.35,,,12,0.24087007133317398,0.27341658014553893,0.9687678184120172,0.04560942565824274,
2017,49,inpatient,26219040.99,132741449.5,25317836.25,901204.48,128249142.35,4492307.03,15036357.43,508389.83,71774530.87,2174009.79,14185430.110000001,850927.19,67665874.76,4108655.9,,,12,0.5596492074319124,0.5939037318009354,0.9661574650049305,0.05724392552898339,
2017,49,outpatient,47288970.45,208674680.25,45489009.86,1799960.33,200853957.14,7820722.9,20326101.58,747128.67,84586639.68,2761716.04,19076122.37,1249979.02,79301840.78,5284798.64,,,12,0.42113504201981494,0.44683543657153585,0.9625219355763215,0.06247793575903876,
2017,51,inpatient,27207395.0,140666616.0,25171928.0,2035467.0,129669861.0,10996755.0,5800467.0,296823.0,73966570.0,4224061.0,5433569.0,366898.0,69703558.0,4263012.0,,,12,0.5704222201641752,0.23043395801863092,0.9218239884294934,0.057634306957859475,
2017,51,outpatient,16967958.0,91915067.0,16037351.0,930607.0,86952155.0,4962912.0,1851755.0,92765.0,28067822.0,1598810.0,1728175.0,123580.0,26331610.0,1736212.0,,,12,0.32279616301631625,0.11546514134410353,0.946005457407761,0.06185773873013731,
2017,55,inpatient,8954848.09,59297378.81,8440917.38,513930.34,55927516.23,3369859.9,5129564.78,184687.64,30448890.54,1317636.97,5036258.3,93305.65,29953452.77,495437.77,,,12,0.544434879152866,0.6077022850802978,0.9431701257690044,0.016271127164687822,
2017,55,outpatient,6087511.37,41194435.72,5821811.63,265699.46,39245056.7,1949377.07,1611800.93,39421.01,8960921.56,309937.68,1596893.52,14906.95,8818112.51,142809.05,,,12,0.22833249110836423,0.27685556188289107,0.952678584232832,0.01593687089478328,
2017,60,inpatient,3014162.0,19523338.0,2718664.0,295498.0,17544942.0,1978396.0,1683199.0,146387.0,11314788.0,887663.0,1656469.0,26730.0,11128941.0,185847.0,,,12,0.6449031293463381,0.6191272625083497,0.8986650745891916,0.01642514203536116,
2017,60,outpatient,3888014.33,28659085.0,3365204.33,522810.0,24648992.0,4010093.0,954452.0,74307.0,6993432.0,621265.0,939814.0,14638.0,6899209.0,94223.0,,,12,0.28372081097677343,0.28362378815790956,0.8600760282472382,0.013473070160687915,
2017,61,inpatient,8519262.36,38066930.3,6101943.05,2417319.31,27021692.78,11045237.52,3804916.14,1619367.69,17826756.86,7620488.58,3655071.15,149844.99,17054037.61,772719.25,,,12,0.6597202109112277,0.6235581205563694,0.7098469082493895,0.04334603630197265,
